OS,CPU Model,Customize,Thread(s),Hashrate (KH/s),Note
Unknown,Intel Xeon X5570,-,10 Threads,5.20,
Linux,Intel Xeon X5440,2.83GHz,,1.92,
Windows 7 Professional,Intel Xeon W3680,-,,4.15,
Ubuntu Server,Intel Xeon L5520,Single CPU,,3.00,
Linux,Intel Xeon E5440,-,,2.10,
Unknown,Intel Xeon E5 v3,-,,7.00,
Windows 10,Intel Xeon E5 2699 v4,Dual CPU,,23.50,
Windows 10,Intel Xeon E5 2697 v2,-,,6.80,
Unknown,Intel Xeon E5 2660,-,,7.00,
Ubuntu,Intel Xeon E5 2650 v3,-,,12.76,
CentOSx2,Intel Xeon E5 2640 v3,Dual CPU,,30.00,
Unknown,Intel Xeon E5 2630 v2,-,8 Threads,3.60,
Ubuntu Server,Intel Xeon E5 2620 v4,Dual CPU,,13.00,
Unknown,Intel Xeon E3 1286 v3,-,,2.80,
Windows 10,Intel Xeon E3 1280,-,,2.50,
Windows 10,Intel Xeon E3 1275 v2,-,,3.00,
Windows 10,Intel Xeon D 1557,-,,4.30,
Windows 10,Intel Xenon E3 1275L v3,-,,2.95,
Ubuntu on bhyve on FreeNas,Intel Xenon E3 1265L v3,-,,2.44,
Android,Qualcomm Snapdragon S4 Pro,-,,0.02,Webminer
Android,Qualcomm Snapdragon 835,-,,0.15,Webminer
Android,Qualcomm Snapdragon 801,-,,0.07,Webminer
Unknown,AMD Ryzen7 1700X,3.7GHz OC,,5.90,
Unknown,AMD Ryzen ThreadRipper 1950X,-,,11.16,
Windows 10 64bit,AMD Ryzen 7 1700,-,,6.00,
Ubuntu 17.04,AMD Ryzen 7 1700,-,10 Threads,5.00,
Ubuntu mate 16.04,AMD Ryzen 7 1700,3.6GHz OC,,7.30,
Windows 10,AMD Ryzen 5 1600,-,8 Threads,5.20,
Windows 7 HP,Intel Pentium M P6200,-,,0.35,
Unknown,Intel Pentium G3460,-,,1.50,
Unknown,Intel Core i9 7900X,4.5Ghz OC,,9.70,
Windows 10,Intel Core i7 980X,-,10 Threads,3.45,
Unknown,Intel Core i7 8700K,殻割りリキプロ,,6.10,
Unknown,Intel Core i7 7700K,-,,3.00,
Unknown,Intel Core i7 7700K,-,,4.20,
Unknown,Intel Core i7 7700K,殻割りリキプロ,,4.30,
Unknown,Intel Core i7 7700HQ,-,8 Threads,0.80,
Unknown,Intel Core i7 6950X,3.5Ghz OC,,8.50,
Unknown,Intel Core i7 6950X,-,,11.00,
Unknown,Intel Core i7 6700K,-,,3.55,
Unknown,Intel Core i7 6700K,殻割りリキプロ,,3.80,
Mac OSX,Intel Core i7 6558U,-,,1.60,
Unknown,Intel Core i7 6500U,-,1 Thread,0.15,Webminer
Unknown,Intel Core i7 5930K,3.9GHz OC,,6.10,
Windows 10,Intel Core i7 4790K,-,,2.70,
Windows 7 Ultimate,Intel Core i7 4710HQ,-,,2.18,
Windows 7 Ultimate,Intel Core i7 4578U,-,,0.36,
Windows 10,Intel Core i7 3930K,-,,4.00,
Unknown,Intel Core i7 3820,-,,3.50,
Windows 10 Pro,Intel Core i7 3770,-,,3.00,
Unknown,Intel Core i7 3770,-,,2.80,
Windows 7 Ultimate,Intel Core i7 3667U,-,,0.46,
Windwos8.1on ESXi,Intel Core i7 3612QE,-,,2.50,
Unknown,Intel Core i5 7600K,-,,3.70,
Windows 10,Intel Core i5 5300U,-,,1.30,
Windows 10,Intel Core i5 5200U,-,,0.80,
Windows 10 Pro,Intel Core i5 4690K,4.0GHz OC,,3.00,
ubuntu16.04,Intel Core i5 4460,-,,3.00,
Ubuntu 17.04(VM),Intel Core i5 4460,-,,2.56,
Windows 10,Intel Core i5 3570K,-,,1.60,
Windows 7 Ultimate,Intel Core i5 3427U,-,,0.57,
Windows 7 Ultimate,Intel Core i5 2520M,-,,1.42,
Windows 10 Pro 64bit,Intel Core i5 2520m,-,,1.20,
Unknown,Intel Core i5 2500K,-,,1.09,
Unknown,Intel Core i5 2320,-,,1.80,
Windows 7 Ultimate,Intel Core 2 Quad Q9550,-,,1.87,
Windows 7 Ultimate,Intel Core 2 Duo U9600,-,,0.17,
Windows 7 Ultimate,Intel Core 2 Duo P7500,-,,0.33,
Unknown,Intel Celeron G3930,-,,0.70,
Windows 10,Intel Celeron G3930,-,,0.50,
Windows 10,Intel Celeron G1820,-,,0.50,
Lubuntu 17.10,Intel Atom Z8300,-,,0.40,
Ubuntu 16.04 LTS x86,Intel Atom N270,-,,0.10,
Windows 10 Pro,AMD A10 7890K,-,,1.15,
